,price,minimum_nights,label
548,33,2,1
549,55,60,1
550,48,60,1
551,60,3,1
552,25,3,1
553,70,3,1
554,50,3,1
555,65,3,1
556,35,6,1
557,160,4,1
558,140,4,1
559,70,14,1
560,70,2,1
561,31,1,1
562,65,5,1
563,98,30,1
564,120,60,1
565,76,5,1
566,80,8,1
567,44,4,1
568,75,3,1
569,70,7,1
570,95,3,1
571,235,2,1
572,100,3,1
573,37,2,1
574,62,1,1
575,80,3,1
576,45,3,1
577,60,6,1
578,36,3,1
579,85,3,1
580,55,93,1
581,35,2,1
582,24,3,1
583,49,2,1
584,99,3,1
585,100,4,1
586,35,2,1
587,30,6,1
588,109,5,1
589,34,3,1
590,35,5,1
591,102,1,1
592,29,4,1
593,69,2,1
594,45,3,1
595,35,14,1
596,45,3,1
597,19,1,1
598,85,4,1
599,39,2,1
600,89,2,1
601,40,4,1
602,25,3,1
603,65,4,1
604,45,7,1
605,20,20,1
606,43,1,1
607,95,4,1
608,50,14,1
609,45,5,1
610,69,4,1
611,27,3,1
612,39,15,1
613,120,5,1
614,35,2,1
615,75,61,1
616,80,2,1
617,40,14,1
618,200,3,1
619,50,65,1
620,25,1,1
621,78,2,1
622,37,3,1
623,75,1,1
624,50,5,1
625,33,1,1
626,208,6,1
627,80,10,1
628,45,1,1
629,68,2,1
630,20,2,1
631,35,10,1
632,79,3,1
633,44,4,1
634,45,1,1
635,50,2,1
636,78,2,1
637,35,1,1
638,95,3,1
639,55,4,1
640,125,3,1
641,78,3,1
642,55,4,1
643,34,2,1
644,100,4,1
645,35,3,1
646,59,3,1
647,100,10,1
648,38,62,1
649,195,3,1
650,35,2,1
651,80,3,1
652,75,2,1
653,100,2,1
654,38,1,1
655,73,4,1
656,70,16,1
657,45,3,1
658,55,2,1
659,160,3,1
660,39,7,1
661,85,3,1
662,80,3,1
663,50,6,1
664,35,2,1
665,34,3,1
666,45,7,1
667,55,2,1
668,49,240,1
669,39,3,1
670,89,5,1
671,65,3,1
672,68,5,1
673,32,6,1
674,59,2,1
675,16,2,1
676,35,1,1
677,38,3,1
678,100,5,1
679,75,3,1
680,60,5,1
681,45,4,1
682,35,3,1
683,30,2,1
684,100,2,1
685,65,1,1
686,75,3,1
687,52,2,1
688,65,2,1
689,60,5,1
690,98,3,1
691,30,2,1
692,47,30,1
693,35,120,1
694,29,90,1
695,110,7,1
696,51,60,1
697,38,3,1
698,60,5,1
699,45,4,1
700,49,4,1
701,63,3,1
702,45,3,1
703,120,3,1
704,95,2,1
705,150,3,1
706,52,90,1
707,80,1,1
708,55,25,1
709,60,5,1
710,107,1,1
711,30,2,1
712,29,1,1
713,90,60,1
714,70,3,1
715,100,5,1
716,45,2,1
717,55,14,1
718,92,3,1
719,69,4,1
720,50,1,1
721,45,3,1
722,36,2,1
723,67,4,1
724,79,3,1
725,48,3,1
726,68,1,1
727,35,2,1
728,44,1,1
729,55,5,1
730,35,2,1
731,50,3,1
732,120,120,1
733,190,3,1
734,150,1,1
735,99,5,1
736,50,23,1
737,62,5,1
738,29,2,1
739,54,1,1
740,75,61,1
741,75,61,1
742,85,3,1
743,79,5,1
744,45,2,1
745,89,10,1
746,455,2,1
747,55,4,1
748,51,2,1
749,70,2,1
750,85,3,1
751,30,1,1
752,60,1,1
753,95,2,1
754,50,2,1
755,40,8,1
756,80,22,1
757,79,3,1
758,38,1,1
759,79,3,1
760,50,3,1
761,85,5,1
762,79,1,1
763,60,4,1
