,number_of_reviews,price,label
652,197,75,1
653,49,100,1
654,1,38,1
655,12,73,1
656,14,70,1
657,123,45,1
658,358,55,1
659,68,160,1
660,0,39,1
661,0,85,1
662,61,80,1
663,39,50,1
664,1,35,1
665,130,34,1
666,2,45,1
667,35,55,1
668,1,49,1
669,68,39,1
670,34,89,1
671,44,65,1
672,1,68,1
673,68,32,1
674,32,59,1
675,76,16,1
676,189,35,1
677,63,38,1
678,18,100,1
679,13,75,1
680,113,60,1
681,24,45,1
682,2,35,1
683,177,30,1
684,22,100,1
685,8,65,1
686,154,75,1
687,7,52,1
688,42,65,1
689,5,60,1
690,49,98,1
691,1,30,1
692,11,47,1
693,9,35,1
694,165,29,1
695,41,110,1
696,38,51,1
697,12,38,1
698,20,60,1
699,117,45,1
700,168,49,1
701,21,63,1
702,31,45,1
703,82,120,1
704,167,95,1
705,119,150,1
706,137,52,1
707,2,80,1
708,71,55,1
709,64,60,1
710,70,107,1
711,130,30,1
712,138,29,1
713,10,90,1
714,27,70,1
715,5,100,1
716,35,45,1
717,4,55,1
718,143,92,1
719,10,69,1
720,3,50,1
721,5,45,1
722,148,36,1
723,13,67,1
724,41,79,1
725,211,48,1
726,54,68,1
727,163,35,1
728,196,44,1
729,133,55,1
730,68,35,1
731,1,50,1
732,0,120,1
733,2,190,1
734,18,150,1
735,0,99,1
736,55,50,1
737,3,62,1
738,7,29,1
739,5,54,1
740,20,75,1
741,18,75,1
742,2,85,1
743,12,79,1
744,188,45,1
745,1,89,1
746,72,455,1
747,19,55,1
748,273,51,1
749,19,70,1
750,17,85,1
751,2,30,1
752,1,60,1
753,149,95,1
754,67,50,1
755,10,40,1
756,0,80,1
757,16,79,1
758,151,38,1
759,15,79,1
760,7,50,1
761,4,85,1
762,359,79,1
763,174,60,1
764,15,55,1
765,1,47,1
766,53,2228,1
767,3,197,1
768,16,79,1
769,7,40,1
770,47,85,1
771,10,90,1
772,70,40,1
773,28,45,1
774,106,62,1
775,19,45,1
776,70,95,1
777,2,55,1
778,10,49,1
779,108,42,1
780,24,106,1
781,50,45,1
782,17,30,1
783,122,69,1
784,16,88,1
785,6,50,1
786,193,80,1
787,39,80,1
788,44,61,1
789,13,35,1
790,49,45,1
791,0,139,1
792,23,79,1
793,11,72,1
794,11,59,1
795,13,65,1
796,6,30,1
797,21,45,1
798,112,75,1
799,1,50,1
800,14,90,1
801,3,50,1
802,17,75,1
803,374,47,1
804,23,100,1
805,2,31,1
806,3,31,1
807,26,49,1
808,11,42,1
809,1,31,1
810,15,90,1
811,113,62,1
812,14,105,1
813,27,100,1
814,32,110,1
815,25,30,1
816,40,80,1
817,2,100,1
818,12,60,1
819,29,100,1
820,88,95,1
821,48,95,1
822,63,111,1
823,34,35,1
824,22,65,1
825,5,37,1
826,14,146,1
827,36,24,1
828,216,70,1
829,102,69,1
830,6,44,1
831,122,65,1
832,87,75,1
833,71,65,1
834,168,120,1
835,5,24,1
836,124,69,1
837,63,90,1
838,166,59,1
839,22,60,1
840,25,44,1
841,78,48,1
842,89,69,1
843,35,42,1
